run,accuracy,mcc
1,0.8584474885844748,0.8134044096020149
2,0.8452562151192288,0.7965943831839377
3,0.8503297818366311,0.8025782374794396
4,0.8508371385083714,0.8021371767296482
5,0.8498224251648909,0.8009189211050383
